"Gene symbol (zebrafish, Ensembl/ZFIN)",Common aliases,"Gene name (Ensembl/ZFIN, authoritative)",Gene name (plain-language label),Ensembl gene ID (D. rerio),ZFIN ID,Chr (GRCz11),Start (GRCz11),End (GRCz11),Strand,Biotype,ID verification note,Ensembl link,ZFIN link,Pathway group,Pathway / family (detail),Trait category,Evidence type,Evidence strength,Verification depth,Source species,Reported locus in source study,Proposed effect on growth,Primary reference (verified),Reference title,DOI,PMID,source_catalog,gene_symbol_norm,evidence_bucket,in_pangasius_catalog,has_verified_marker_variant,method,confidence,catfish_symbol,chrom_acc,start,end,note,cat_chrom,pos_check,locus_key,shared_locus_with
mef2d,MEF2D,myocyte enhancer factor 2d,myocyte enhancer factor 2d,ENSDARG00000040237,ZDB-GENE-990415-164,16,29072874.0,29194517.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Myogenic regulatory network,Muscle growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,MEF2 family transcription factor in myogenesis,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,mef2d,C,False,False,direct_symbol_match,high,mef2d,NC_069710.1,19727380.0,19783066.0,,chr1,ok,chr1:19727380-19783066,
met,MET,"MET proto-onco, receptor tyrosine kinase",met proto-oncogene,ENSDARG00000070903,ZDB-GENE-041014-1,25,18583877.0,18679071.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Other growth signalling & trafficking,Growth factor,Muscle growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,HGF receptor required for migratory muscle precursor development,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,met,C,False,False,direct_symbol_match,high,met,NC_069716.1,27980208.0,28039085.0,,chr7,ok,chr7:27980208-28039085,
mlxipl,ChREBP,MLX interacting protein like,MLX interacting protein like,ENSDARG00000104054,ZDB-GENE-100922-66,5,3862586.0,3889047.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Carbohydrate metabolism,Energy partitioning,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Glucose-responsive lipogenic transcription factor,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,mlxipl,C,False,False,blast_ortholog,high,LOC113531024,NC_069736.1,6738836.0,6759228.0,BLAST ortholog (protein XP_026777279.3),chr27,ok,chr27:6738836-6759228,
mmp13a.1,MMP13; mmp13a,"matrix metallopeptidase 13a, tandem duplicate 1",matrix metallopeptidase 13a,ENSDARG00000114451,ZDB-GENE-031202-2,10,38610741.0,38620514.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM remodelling,Skeletal remodelling,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Collagenase in bone remodelling,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,mmp13a.1,C,False,False,blast_ortholog,high,LOC113544739,NC_069726.1,3045406.0,3050202.0,BLAST ortholog (protein XP_026799475.3),chr17,ok,chr17:3045406-3050202,
mmp9,MMP9,matrix metallopeptidase 9,matrix metallopeptidase 9,ENSDARG00000042816,ZDB-GENE-040426-2132,8,24281512.0,24295947.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM remodelling,Muscle/skeletal remodelling,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Oncorhynchus mykiss,,ECM turnover during muscle growth and flesh softening,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,mmp9,C,False,False,direct_symbol_match,high,mmp9,NC_069717.1,12411356.0,12416107.0,,chr8,ok,chr8:12411356-12416107,
mrap2a,MRAP2,melanocortin 2 receptor accessory protein 2a,melanocortin 2 receptor accessory protein 2a,ENSDARG00000074763,ZDB-GENE-100729-3,16,37947342.0,37964325.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / energy balance,Body size; growth rate,Functional,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio,,Developmentally switched MC4R accessory protein; mrap2a promotes somatic growth in larval zebrafish,Sebag JA et al. (2013) Science 341:278-281,Developmental control of the melanocortin-4 receptor by MRAP2 proteins in zebrafish,10.1126/science.1232995,23869017,teleost,mrap2a,A,False,False,direct_symbol_match,high,mrap2a,NC_069710.1,4803202.0,4815435.0,,chr1,ok,chr1:4803202-4815435,mrap2b
mrap2b,MRAP2b,melanocortin 2 receptor accessory protein 2b,melanocortin 2 receptor accessory protein 2b,ENSDARG00000103050,ZDB-GENE-100729-5,4,905483.0,908821.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / energy balance,Feed intake,Functional,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio,,Adult-stage MRAP2 paralogue enhancing alpha-MSH sensitivity and satiety,Sebag JA et al. (2013) Science 341:278-281,Developmental control of the melanocortin-4 receptor by MRAP2 proteins in zebrafish,10.1126/science.1232995,23869017,teleost,mrap2b,A,False,False,blast_ortholog,medium,mrap2a,NC_069710.1,4803202.0,4815435.0,BLAST ortholog (protein XP_026770095.1),chr1,ok,chr1:4803202-4815435,mrap2a
msh6,MSH6,mutS homolog 6 (E. coli),mutS homolog 6,ENSDARG00000104541,ZDB-GENE-020905-3,13,48358467.0,48381055.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",DNA repair,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oreochromis niloticus; Danio rerio,,Mismatch repair gene intercepted by body-trait lead SNP,Yoshida GM et al. (2021) BMC Genomics 22:57,Multi-trait GWAS using imputed high-density genotypes from whole-genome sequencing identifies genes associated with body traits in Nile tilapia,10.1186/s12864-020-07341-z,33451291,teleost,msh6,A,False,False,direct_symbol_match,high,msh6,NC_069712.1,25884875.0,25894999.0,,chr3,ok,chr3:25884875-25894999,
mstna,"MSTN-2, MSTNa",myostatin a,myostatin a,ENSDARG00000042947,ZDB-GENE-050208-735,22,12790837.0,12795340.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Muscle mass; body weight,Functional; Expression,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Megalobrama amblycephala; Danio rerio; Salmo salar,,Teleost-duplicated myostatin paralogue; combined disruption with mstnb elevates muscle mass,Sun Y et al. (2020) Aquaculture 528:735597; Wang Y et al. (2026) Fish Physiology and Biochemistry 52,"Disruption of mstna and mstnb gene through CRISPR/Cas9 leads to elevated muscle mass in blunt snout bream (Megalobrama amblycephala) | Myostatin in fish: current understanding of its characterization, function, and signaling pathways",10.1016/j.aquaculture.2020.735597; 10.1007/s10695-026-01780-3,42663749,teleost,mstna,A,False,False,direct_symbol_match,high,mstna,NC_069734.1,18604385.0,18610890.0,,chr25,ok,chr25:18604385-18610890,
mstnb,"MSTN, MSTN-1, GDF8",myostatin b,myostatin b,ENSDARG00000069133,ZDB-GENE-990415-165,9,40939336.0,40943137.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Muscle mass; fillet yield; body weight,Functional; GWAS/QTL; Expression,A - named in a verified primary teleost study,"Second-order check: source paper text read and the gene, trait, locus and effect size below confirmed against it (4 Sep 2026)",Ictalurus punctatus; Ctenopharyngodon idella; Cyprinus carpio; Pagrus major; Channa maculata; Megalobrama amblycephala; Danio rerio,,"Master negative regulator of skeletal muscle mass. CRISPR/Cas9 knockout in channel catfish raised mean body weight 29.7% and body length 6.6% at ~1 month post-hatch, with 33.7% more muscle fibres than controls (Khalil et al. 2017; that study did not measure fillet yield or disease resistance). Comparable muscle-mass gains are reported for red sea bream, blunt snout bream, common carp, blotched snakehead and grass carp.",Khalil K et al. (2017) Scientific Reports 7:7301; Kishimoto K et al. (2018) Aquaculture 495:415-427; Ohama M et al. (2020) Aquaculture 529:735672; Sun Y et al. (2020) Aquaculture 528:735597; Zhong Z et al. (2016) Scientific Reports 6:22953; Shahi N et al. (2022) Aquaculture 547:737423; Ou M et al. (2023) Aquaculture 563:738988; Sun T et al. (2026) Aquaculture 613:743355; Wang Y et al. (2026) Fish Physiology and Biochemistry 52,"Generation of myostatin gene-edited channel catfish (Ictalurus punctatus) via zygote injection of CRISPR/Cas9 system | Production of a breed of red sea bream Pagrus major with an increase of skeletal muscle mass and reduced body length by genome editing with CRISPR/Cas9 | Growth performance of myostatin knockout red sea bream Pagrus major juveniles produced by genome editing with CRISPR/Cas9 | Disruption of mstna and mstnb gene through CRISPR/Cas9 leads to elevated muscle mass in blunt snout bream (Megalobrama amblycephala) | Targeted disruption of sp7 and myostatin with CRISPR-Cas9 results in severe bone defects and more muscular cells in common carp | Muscle growth in targeted knockout common carp (Cyprinus carpio) mstn gene with low off-target effects | Generation of myostatin gene-edited blotched snakehead (Channa maculata) using CRISPR/Cas9 system | CRISPR/Cas9-mediated myostatin b knockout enhances growth performance and muscle hypertrophy in grass carp (Ctenopharyngodon idella) | Myostatin in fish: current understanding of its characterization, function, and signaling pathways",10.1038/s41598-017-07223-7; 10.1016/j.aquaculture.2018.05.055; 10.1016/j.aquaculture.2020.735672; 10.1016/j.aquaculture.2020.735597; 10.1038/srep22953; 10.1016/j.aquaculture.2021.737423; 10.1016/j.aquaculture.2022.738988; 10.1016/j.aquaculture.2025.743355; 10.1007/s10695-026-01780-3,28779173; 26976234; 42663749,teleost,mstnb,A,False,False,direct_symbol_match,high,mstnb,NC_069714.1,29398566.0,29403248.0,,chr5,ok,chr5:29398566-29403248,
mtor,"MTOR, TOR",mechanistic target of rapamycin kinase,mechanistic target of rapamycin kinase,ENSDARG00000053196,ZDB-GENE-030131-2974,8,46077609.0,46321918.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,mTOR / PI3K-AKT & translation,mTOR / protein synthesis,Growth rate; muscle growth,Pathway core; Expression; Functional,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss; Sparus aurata,,Central amino-acid and insulin/IGF sensor driving muscle protein synthesis and growth,"Seiliez I et al. (2008) American Journal of Physiology - Regulatory, Integrative and Comparative Physiology 295:R329-R335",An in vivo and in vitro assessment of TOR signaling cascade in rainbow trout (Oncorhynchus mykiss),10.1152/ajpregu.00146.2008,18434442,teleost,mtor,A,False,False,direct_symbol_match,high,mtor,NC_069717.1,22181030.0,22273473.0,,chr8,ok,chr8:22181030-22273473,
mybpc1,MYBPC1,myosin binding protein C1,"myosin binding protein C1, slow type",ENSDARG00000045560,ZDB-GENE-041114-196,4,17726841.0,17793152.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Sarcomere,Muscle growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Thick-filament accessory protein regulating contraction,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,mybpc1,C,False,False,direct_symbol_match,high,mybpc1,NC_069718.1,26547072.0,26585317.0,,chr9,ok,chr9:26547072-26585317,
myf5,MYF5,myogenic factor 5,myogenic factor 5,ENSDARG00000007277,ZDB-GENE-000616-6,4,21741228.0,21745107.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Myogenic regulatory factor,Muscle growth,Pathway core; Expression,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss,,Early myogenic determination factor specifying myoblasts,Johnston IA et al. (2011) Journal of Experimental Biology 214:1617-1628,Growth and the regulation of myotomal muscle mass in teleost fish,10.1242/jeb.038620,21525308,teleost,myf5,B,False,False,direct_symbol_match,high,myf5,NC_069727.1,1459739.0,1465843.0,,chr18,ok,chr18:1459739-1465843,
myf6,"MRF4, MYF6",myogenic factor 6,myogenic factor 6,ENSDARG00000029830,ZDB-GENE-040309-2,4,21717793.0,21720943.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Myogenic regulatory factor,Harvest body weight (differential expression),Expression; Pathway core,"B - verified primary study, supporting evidence",Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Evidence type corrected from GWAS/QTL to Expression: the study performed no association test.,Labeo rohita; Danio rerio; Sparus aurata,"chr4:27,601,011 (G/C, missense; L. rohita)","Late myogenic differentiation factor associated with fibre hypertrophy. A missense cSNP at chr4:27,601,011 sits in the transcript the rohu study reports as ""Myo6/Myog6"" - myogenic factor 6 (MRF4) - which was differentially expressed with harvest body weight. NOTE: the rohu study is an mRNA-seq differential-expression study with coding-SNP discovery inside differentially expressed transcripts. It ran NO genome-wide association test - the authors recommend these genes for future SNP-array construction and GWAS. These variants are candidates, not validated marker-trait associations.",Nandanpawar P et al. (2023) Frontiers in Genetics 14:1153911; Johnston IA et al. (2011) Journal of Experimental Biology 214:1617-1628,"Identification of differentially expressed genes and SNPs linked to harvest body weight of genetically improved rohu carp, Labeo rohita | Growth and the regulation of myotomal muscle mass in teleost fish",10.3389/fgene.2023.1153911; 10.1242/jeb.038620,37359361; 21525308,teleost,myf6,B,False,False,direct_symbol_match,high,myf6,NC_069727.1,1435058.0,1454839.0,,chr18,ok,chr18:1435058-1454839,
myhz2,"MYH, fast MyHC","myosin, heavy polypeptide 2, fast muscle specific","myosin, heavy polypeptide 2, fast muscle specific",ENSDARG00000012944,ZDB-GENE-020604-1,5,32206378.0,32217579.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Sarcomere,Muscle growth; fillet yield,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Oncorhynchus mykiss,,Fast white-muscle myosin heavy chain; principal fillet protein,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,myhz2,C,False,False,blast_ortholog,high,LOC113531157,NC_069736.1,10250442.0,10261860.0,BLAST ortholog (protein XP_053086627.1),chr27,ok,chr27:10250442-10261860,
mylpfa,"MYLPF, MLC2f","myosin light chain, phosphorylatable, fast skeletal muscle a","myosin light chain, phosphorylatable, fast skeletal muscle a",ENSDARG00000053254,ZDB-GENE-990712-15,3,32813048.0,32818607.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Sarcomere,Muscle growth; fillet yield,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Oncorhynchus mykiss,,Fast-twitch myosin light chain; abundant white-muscle protein,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,mylpfa,C,False,False,direct_symbol_match,high,mylpfa,NC_069722.1,3263065.0,3269034.0,,chr13,ok,chr13:3263065-3269034,
